Muni Code,TreasuryCode,Municipality Name,MuniType,County,Record ID,Block,Lot,Permit Number,Status,Permit Status Description,Permit Date,Certificate Date,Permit Type,Permit Type Description,Update,Certificate Type,Certificate Type Description,Certificate Count,Building Fee,Plumbing Fee,Electrical Fee,Fire Fee,DCA Fee,Certificate Fee,Elevator Fee,Other Fee,Total Fee,Volume,Square Feet,Construction Cost,Sale Units Gained,Rental Units Gained,Use Group,Use Group Description,Census Item Number,Census Item Number Description,Public,Storage,Manufactured,Hud Seal,Source,Source Description,Version,Process Date,PK
0906,0906,JERSEY CITY,CITY,HUDSON,00055046,3403,45,20212796+B,P,Permit,02/10/2022,,04,New,X,,,0,50,60,135,0,0,0,0,0,245,0,0,1250,0,0,R-5,International Residential Code,999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055046
0906,0906,JERSEY CITY,CITY,HUDSON,00055050,2702,3,20220592,P,Permit,02/18/2022,,04,New,,,,0,1105,1670,635,85,152,0,0,0,3647,40920,3697,481000,2,2,R-5,International Residential Code,104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055050
0906,0906,JERSEY CITY,CITY,HUDSON,00055053,2205,28,20220597,P,Permit,02/18/2022,,04,New,,,,0,1022,1400,460,85,140,0,0,0,3107,37850,3785,166000,2,2,R-5,International Residential Code,999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055053
0906,0906,JERSEY CITY,CITY,HUDSON,00055068,8203,1.01,20201401+K,P,Permit,02/08/2022,,04,New,X,,,0,0,0,0,0,0,0,5038,0,5038,0,0,2100870,0,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,10/07/2022,090600055068
0906,0906,JERSEY CITY,CITY,HUDSON,00055084,18503,7.01,20213831+B,P,Permit,02/10/2022,,04,New,X,,,0,5891,8200,0,287,810,0,0,0,15188,218195,29440,1963900,0,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,05/13/2022,090600055084
0906,0906,JERSEY CITY,CITY,HUDSON,00055116,6702,1,20220563,P,Permit,02/17/2022,,04,New,,,,0,0,0,0,0,0,0,0,0,0,1778280,171590,13651306,0,0,B,Business Uses,999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055116
0906,0906,JERSEY CITY,CITY,HUDSON,00055119,16902,33,20220522,P,Permit,02/14/2022,,04,New,,,,0,3241,3340,1445,124,445,0,0,0,8595,120049,11039,831000,8,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/22/2022,090600055119
0906,0906,JERSEY CITY,CITY,HUDSON,00055137,10302,85,20220506,P,Permit,02/10/2022,,04,New,,,,0,872,1170,605,85,120,0,0,0,2852,32300,4646,214000,2,2,R-5,International Residential Code,104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055137
0906,0906,JERSEY CITY,CITY,HUDSON,00055148,1303,17,20220401,P,Permit,02/03/2022,,04,New,,,,0,872,1650,630,92,120,0,0,0,3364,32300,4642,211000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055148
0906,0906,JERSEY CITY,CITY,HUDSON,00055150,17906,46,20220630,P,Permit,02/22/2022,,04,New,,,,0,872,1440,605,85,120,0,0,0,3122,32300,4622,210000,2,0,R-5,International Residential Code,103,Two-Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055150
